"filename", "language", "Python", "JavaScript", "CSS", "HTML", "XML", "JSON", "comment", "blank", "total"
"/Users/xuanpeichen/Desktop/code/python/openai/card_Creator.py", "Python", 354, 0, 0, 0, 0, 0, 23, 98, 475
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Aquatic Evasion/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Arcane Inferno/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Arcane Insight/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Arcane Intervention/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Arcane Reflection/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Astral Resurgence/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Avenging Light/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Blazing Reversal/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Celestial Convergence/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Celestial Intervention/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Celestial Rebirth/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Divine Intervention/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Divine Reprisal/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Ephemeral Bolt/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Ephemeral Insight/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Ephemeral Response/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Ephemeral Vision/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Ethereal Convergence/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Ethereal Reversal/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Ethereal Surge/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Fiery Blast/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Flames of Fury/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Honorable Protection/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Mindweave/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Mystic Confluence/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Mystic Convergence/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Mystic Evasion/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Mystic Evocation/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Mystic Insight/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Mystic Reflection/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Mystic Reversal/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Mystic Rupture/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Mystic Tide/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Mystic Tides/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Mystical Barrier/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Mystical Shift/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Naturalize/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Nature's Reprisal/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Overgrowth Surge/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Phantasmal Distortion/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Primal Surge/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Pyroblast Surge/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Resurgence/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/cards/Instant/Sacred Reinforcement/data.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 8
