"filename", "language", "Python", "Docker", "Shell Script", "pip requirements", "JSON", "YAML", "MS SQL", "Markdown", "Properties", "HTML", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"/Users/xuanpeichen/Desktop/code/python/openai/Dockerfile", "Docker", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 27
"/Users/xuanpeichen/Desktop/code/python/openai/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 16, 50
"/Users/xuanpeichen/Desktop/code/python/openai/custom_startup.sh", "Shell Script", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 15
"/Users/xuanpeichen/Desktop/code/python/openai/db/magic_backup.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 48, 32, 222
"/Users/xuanpeichen/Desktop/code/python/openai/docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 7, 53
"/Users/xuanpeichen/Desktop/code/python/openai/init.sh", "Shell Script", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 8, 34
"/Users/xuanpeichen/Desktop/code/python/openai/nginx/nginx.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"/Users/xuanpeichen/Desktop/code/python/openai/requirements.txt", "pip requirements", 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 106
"/Users/xuanpeichen/Desktop/code/python/openai/src/card_Creator.py", "Python", 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 113, 533
"/Users/xuanpeichen/Desktop/code/python/openai/src/card_img_compress.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 35
"/Users/xuanpeichen/Desktop/code/python/openai/src/card_python_creator.py", "Python", 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 85, 326
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Alchemist's Chaotic Blend/data.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Aquatic Evasion/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Arcane Inferno/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Arcane Insight/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Arcane Intervention/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Arcane Reflection/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Astral Resurgence/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Avenging Light/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Blaze of Fury/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Blazeburst/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Blazing Reversal/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Celestial Convergence/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Celestial Intervention/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Celestial Rebirth/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Divine Intervention/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Divine Reprisal/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Divine Sanctuary/data.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Druid's Natural Fury/data.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Ephemeral Bolt/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Ephemeral Insight/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Ephemeral Response/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Ephemeral Vision/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Ethereal Convergence/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Ethereal Reversal/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Ethereal Surge/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Fiery Blast/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Flames of Fury/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Flamespark/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Honorable Protection/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Mage's Veto/data.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Mechanist's Disruption Device/data.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Mindweave/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Monk's Inner Rebound/data.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Mystic Barrier/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Mystic Confluence/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Mystic Convergence/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Mystic Evasion/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Mystic Evocation/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Mystic Insight/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Mystic Reflection/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Mystic Reversal/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Mystic Rupture/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Mystic Tide/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Mystic Tides/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Mystical Barrier/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Mystical Shift/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Naturalize/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Nature's Reprisal/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Necromancer's Soul Seize/data.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Overgrowth Surge/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Paladin's Judging Light/data.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Phantasmal Distortion/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Phantom Shield/data.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Priest's Divine Binding/data.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Primal Surge/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Pyroblast Surge/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Ranger's Sniping Shot/data.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Resurgence/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Roar of the Behemoth/data.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Rogue's Trickery/data.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Sacred Reinforcement/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Shadow Snare/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Shadowform Surge/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Shadowstrike/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Summoner's Arcane Acquisition/data.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Summoner's Respite/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Swift Response/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Swift Ward/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Temporal Manipulation/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Temporal Reversal/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Temporal Shift/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Time Reversal/data.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Time Warp/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Timeless Intervention/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Titan's Strength/data.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Veil of Serenity/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Veiled Concealment/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Vengeful Retribution/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Vengeful Wrath/data.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Verdant Blessing/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Verdant Growth/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Verdant Surge/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Warlock's Dark Pact/data.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Warrior's Forced Challenge/data.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Wild Growth Rush/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Wild Growth/data.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Witch's Curse Counter/data.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/Instant/Wizard's Time Warp/data.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/creature/Aetherweaver/data.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/creature/Ancient Stonewood/data.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/creature/Angelic Protector/data.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/creature/Avacyn, Guardian of Hope/data.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/creature/Blazeheart Berserker/data.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/creature/Blightsteel Colossus/data.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/creature/Celestial Guardian/data.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/creature/Celestial Herald/data.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/creature/Celestial Sentinel/data.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/creature/Celestial Seraph/data.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/creature/Celestial Skyweaver/data.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/creature/Chronostrider/data.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/creature/Deep Sea Behemoth/data.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/creature/Dragon Lord/data.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/creature/Dreamweaver Archivist/data.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/creature/Elite Squire/data.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/creature/Elvish Trailblazer/data.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/xuanpeichen/Desktop/code/python/openai/src/cards/creature/Emberheart Berserker/data.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
